department,id,name,prerequisite,SBC,credits
SPN: Hispanic Languages and Literature,SPN 391, The Culture and Civilization of Spain,Prerequisites: SPN 312,,3
SPN: Hispanic Languages and Literature,SPN 392, The Culture and Civilization of Latin America,Prerequisites: SPN 312,,3
SPN: Hispanic Languages and Literature,SPN 393, Introduction to Hispanic Linguistics,Prerequisite: SPN 321,,3
SPN: Hispanic Languages and Literature,SPN 405, Issues in Hispanic Cultural Studies,Prerequisite: SPN 384 or SPN 385 or SPN 386 or SPN 387 or SPN 388 or SPN 389,,3
SPN: Hispanic Languages and Literature,SPN 410, Theory in Contexts,Prerequisite: SPN 384 or SPN 385 or SPN 386 or SPN 387 or SPN 388 or SPN 389,,3
SPN: Hispanic Languages and Literature,SPN 415, Hispanic Cultures in Contact,Prerequisite: SPN 384 or SPN 385 or SPN 386 or SPN 387 or SPN 388 or SPN 389,,3
SPN: Hispanic Languages and Literature,SPN 420, Topics in Spanish and Latin American Cinema,Prerequisite: SPN 384 or SPN 385 or SPN 386 or SPN 387 or SPN 388 or SPN 389,,3
SPN: Hispanic Languages and Literature,SPN 435, Topics in Latin American Literature from the Colonial Period to the Present,Prerequisite: SPN 384 or SPN 385 or SPN 386 or SPN 387 or SPN 388 or SPN 389,,3
SPN: Hispanic Languages and Literature,SPN 443, Medical Spanish Experiential Learning,Prerequisite: SPN 214 or permission of instructor and director of undergraduate studies,,0
SPN: Hispanic Languages and Literature,SPN 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
SPN: Hispanic Languages and Literature,SPN 445, Topics in Spanish Literature from the Middle Ages to the Present,Prerequisite: SPN 384 or SPN 385 or SPN 386 or SPN 387 or SPN 388 or SPN 389,,3
SPN: Hispanic Languages and Literature,SPN 447, Directed Readings,Prerequisites: Permission of instructor and department,,1
SPN: Hispanic Languages and Literature,SPN 458, Speak Effectively Before an Audience,Pre- or corequisite: WRT 102 or equivalent; permission of the instructor,,0
SPN: Hispanic Languages and Literature,SPN 459, Write Effectively in Spanish,Prerequisite: WRT 102; permission of the instructor,,0
SPN: Hispanic Languages and Literature,SPN 463, Contrastive Spanish-English Grammar,Prerequisite: SPN 393 or LIN 101 or HUL 324,,3
SPN: Hispanic Languages and Literature,SPN 465, Topics in Hispanic Linguistics,Prerequisite: SPN 393 or LIN 101 or HUL 324,,3
SPN: Hispanic Languages and Literature,SPN 475, Undergraduate Teaching Practicum I in Spanish,Prerequisites: U3 or U4 Spanish major; preferably U4 standing; permission of director of undergraduate studies,,3
SPN: Hispanic Languages and Literature,SPN 476, Undergraduate Teaching Practicum in Spanish II,Prerequisite: SPN 475; U3 or U4 Spanish major; permission of director of undergraduate studies,,3
SPN: Hispanic Languages and Literature,SPN 488, Internship,Prerequisite: 12 credits of Spanish; 2.50 g.p.a.; permission of instructor and department,,0
SPN: Hispanic Languages and Literature,SPN 495, Spanish Senior Honors,Prerequisites: 3.50 g.p.a. in major; Spanish courses in major; 3.00 overall g.p.a.; U4 standing; permission of department,,3
HIS: History,HIS 100, The Ancient World,No prerequisite,,3
HIS: History,HIS 101, Ancient Mesopotamia to Early Modern Europe,No prerequisite,,3
HIS: History,HIS 102," Modern European History, 18th c. to the Present",No prerequisite,,3
HIS: History,HIS 103, American History to 1877,No prerequisite,,3
HIS: History,HIS 104, United States Since 1877,No prerequisite,,3
HIS: History,HIS 113, America in the Atlantic World,No prerequisite,,3
HIS: History,HIS 116, Women as a Force in US History,No prerequisite,,3
HIS: History,HIS 201, The Ancient Near East,No prerequisite,,3
HIS: History,HIS 202, Ancient Greece,No prerequisite,,3
HIS: History,HIS 203, Ancient Rome,No prerequisite,,3
HIS: History,HIS 206," Europe in the Age of Discovery, 1348-1789",No prerequisite,,3
HIS: History,HIS 212, Ancient History of Mesoamerica,No prerequisite,,3
HIS: History,HIS 213, Colonial Latin America,No prerequisite,,3
HIS: History,HIS 214, Modern Latin America,No prerequisite,,3
HIS: History,HIS 215, Long Island History,No prerequisite,,3
HIS: History,HIS 216, History of U.S.-Latin American Relations,No prerequisite,,3
HIS: History,HIS 218," Ancient, Medieval, & Early Modern South Asia",No prerequisite,,3
HIS: History,HIS 220, Japan in the Age of Courtier and Samurai,No prerequisite,,3
HIS: History,HIS 221, Introduction to Modern African History,No prerequisite,,3
HIS: History,HIS 223, Regional History of Africa,No prerequisite,,3
HIS: History,HIS 225, Jewish History from Antiquity to the Middle Ages,No prerequisite,,3
HIS: History,HIS 226, Modern Jewish History,No prerequisite,,3
HIS: History,HIS 227, Islamic Civilization & Muslim Societies,No prerequisite,,3
HIS: History,HIS 229, Victorian Britain,No prerequisite,,3
HIS: History,HIS 230, Britain since 1688,No prerequisite,,3
HIS: History,HIS 235, The Heirs of Rome,No prerequisite,,3
HIS: History,HIS 236," The World of the Later Middle Ages, 1000-1500",No prerequisite,,3
HIS: History,HIS 237," Science, Technology, and Medicine in Western Civilization I",No prerequisite,,3
HIS: History,HIS 238," Science, Technology, and Medicine in Western Civilization II",No prerequisite,,3
HIS: History,HIS 239, From Columbus to Darwin,No prerequisite,,3
HIS: History,HIS 241, Nazi Genocide and the Holocaust,No prerequisite,,3
HIS: History,HIS 247, Modern Korea through Visual Culture,No prerequisite,,3
HIS: History,HIS 248," Modern Europe, 1815-1914",No prerequisite,,3
HIS: History,HIS 249," Modern Europe, 1914-1945",No prerequisite,,3
HIS: History,HIS 250," The Second World War, 1939-1945",No prerequisite,,3
HIS: History,HIS 251, Europe Since 1945,No prerequisite,,3
HIS: History,HIS 256, Tacos to Telenovelas,No prerequisite,,3
HIS: History,HIS 261," Change and Reform in the United States, 1877-1919",No prerequisite,,3
HIS: History,HIS 262, American Colonial Society,No prerequisite,,3
HIS: History,HIS 263, Age of the American Revolution,No prerequisite,,3
HIS: History,HIS 264, The Early Republic,No prerequisite,,3
HIS: History,HIS 265, Civil War and Reconstruction,No prerequisite,,3
HIS: History,HIS 266, History of the United States West,No prerequisite,,3
HIS: History,HIS 273," U.S. History, 1900-1945",No prerequisite,,3
HIS: History,HIS 274," U.S. History, 1945-2000",No prerequisite,,3
HIS: History,HIS 277, The Modern Color Line,No prerequisite,,3
HIS: History,HIS 280, The History of the U.S. Working Class,No prerequisite,,3
HIS: History,HIS 281, Global History and Geography,Prerequisite: one D.E.C. F or SBS course,,3
HIS: History,HIS 282, African American History Since 1877,No prerequisite,,3
HIS: History,HIS 283, The History of Latinos in the United States,No prerequisite,,3
HIS: History,HIS 285," Games, Burlesques, and Spectacles",No prerequisite,,3
HIS: History,HIS 286, The Global History of Human Health,No prerequisite,,3
HIS: History,HIS 287, Crime and Criminal Justice in the U.S.,No prerequisite,,3
HIS: History,HIS 288, Wealth and Inequality in Early America,No prerequisite,,3
HIS: History,HIS 289, Wealth and Inequality in America's Corporate Age,No prerequisite,,3
HIS: History,HIS 293, Disease in American History,No prerequisite,,3
HIS: History,HIS 295, History of North American Cities and Suburbs,No prerequisite,,3
HIS: History,HIS 299, College Regional Studies Program,No prerequisite,,3
HIS: History,HIS 300, Topics in Global History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 301, Reading and Writing History,Prerequisite: History major or minor; U3 or U4 status; or permission of instructor,,3
HIS: History,HIS 302, Environmental History in Global Perspective,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 303, The Crusades and Medieval Society,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 304," Religion, Magic and Witchcraft in Early Modern Europe",Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 307, Silk Roads and Spice Routes,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 308, Britain and France in the Age of Revolution,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 309, Victorian Britain and Monsters,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 310, Britain Since 1945,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 312, From Empire to Third Reich,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 314, Indigenous-Settler Relations in the United States,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 315, Nazi Empire,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 318, Modern European Intellectual History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 320, Latino New York,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 323, Women of Color in the U.S.,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 325, Civil Rights and Black Power,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 327, The Arts as History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 328, History of New York City,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 329, Environmental Disasters,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 331, Immigration in American History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 332, Postcolonial South Asia,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 334, Women and Gender in Pre-Modern European History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 336, Women and Gender in Modern European History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 337, History of Korea,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 338, Asian and Pacific Islanders in American History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 339, Recent African American History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 340, Topics in Asian History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 344, Modern Japan,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 348, Colonial South Asia,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 350, Topics in African History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 351, Revolutionary China,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 352, Environmental History of China,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 353, Postwar Japan,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 356," Zionism, Israel, and the Middle East",Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 360, Changing Families,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 361, Slavery and Freedom in the Making of the Atlantic,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 362, Unsettled Decade,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 363, Topics in American History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 364, Oceans Past,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 365, Environmental History of North America,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 366, Carceral Studies,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 368, Health and Disease in Africa,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 369, Religion and Politics in Africa,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 370, US Social History from 1860 to 1940,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 371," Law and Society in American History, 1620-1877",Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 373, Global 1960s,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 374, Surveillance State,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 379, Rebels & Revolutionaries,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 380, Topics in Latin-American History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 381," Chocolate, Coffee & Cocaine",Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 383, The World of Jane Austen; Jane Austen in the World,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 385, Aztec Civilization,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 386, The Maya,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 387, Cuba,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 389, Mexico,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 390, Topics in Ancient History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 391, Topics in Ancient and Medieval Europe,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 392, Topics in Early Modern Europe,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 393, Topics in Modern European History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 396, Topics in U.S. History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 397, Topics in History of U.S. Immigration and Ethnicity,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 398," Topics in the History of Science, Medicine and Technology",Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 399, Topics in U.S. History,Prerequisite: U3 or U4 standing; 1 D.E.C. F or SBS course,,3
HIS: History,HIS 401, Senior Colloquium,No prerequisite,,3
HIS: History,HIS 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
HIS: History,HIS 447, Independent Readings in History,Prerequisites: A strong background in history; permission of instructor and department,No fulfillments,1
HIS: History,HIS 458, Speak Effectively Before an Audience,Pre- or corequisite: WRT 102 or equivalent; permission of the instructor,,0
HIS: History,HIS 459, Write Effectively in History,No prerequisite,,0
HIS: History,HIS 487, Supervised Research,Prerequisites: Permission of instructor and either department or departmental research coordinator,,0
HIS: History,HIS 488, Internship,Prerequisites: 15 credits in history; permission of instructor and department,,0
HIS: History,HIS 495, Senior Honors Project in History,Prerequisite: Admission to the history honors program,No fulfillments,3
HIS: History,HIS 496, Senior Honors Project in History,Prerequisite: Admission to the history honors program,,3
HON: Honors College,HON 101, Introduction to Stony Brook,Prerequisite: first year Honors College student,No fulfillments,1
HON: Honors College,HON 105, Modes of Knowledge,Prerequisite: Honors College membership,"CER, HUM, SBS",3
HON: Honors College,HON 106, Modes of Being,Prerequisite: Honors College membership,"CER, HUM, SBS",3
HON: Honors College,HON 110, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 111, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 112, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 113, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 114, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 115, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 116, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 117, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 118, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 119, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 120, Honors Topics,Prerequisite: Acceptance into the Honors College,No fulfillments,1
HON: Honors College,HON 201, The Arts and Society,Prerequisite: Honors College membership,,3
HON: Honors College,HON 301," Science, Engineering, Medicine, and Society",Prerequisites: Honors College membership; U3 or higher standing,,3
HON: Honors College,HON 401, Global Issues,Prerequisites: Honors College membership; U3 or higher standing,,3
HON: Honors College,HON 475, Honors College Teaching Practicum,Prerequisite: Member of the Honors College; permission of the instructor and department,,1
HON: Honors College,HON 495, Honors College Senior Project,Prerequisite: U3 or U4 standing in the Honors College,"ESI, EXP+, SPK, WRTD",3
HON: Honors College,HON 496, Honors College Senior Project,Prerequisite: U3 or U4 standing in the Honors College,"ESI, EXP+, SPK, WRTD",3
EBH: Human Evolutionary Biology,EBH 200, The Evolution of Human Behavior,Prerequisite: ANP 120 or BIO 201 or BIO 202,,3
EBH: Human Evolutionary Biology,EBH 204, Research Skills,"Prerequisite: one course chosen from the following: ANP 120, ANT 104, BIO 201, BIO 202, BIO 203",,3
EBH: Human Evolutionary Biology,EBH 230, Computer-based Biostatistics,Prerequisite: satisfaction of entry skill in mathematics requirement or level 2+ on the mathematics placement examination,,4
EBH: Human Evolutionary Biology,EBH 302, Human Genetics,Prerequisite: C or higher in BIO 201 and BIO 202,No fulfillments,3
EBH: Human Evolutionary Biology,EBH 316, The Evolution of the Human Brain,Prerequisite: ANP 120 or any Biology course,,3
EBH: Human Evolutionary Biology,EBH 325, Evolution of Sex,Prerequisite: ANP 120 or EBH 200 (previously ANP 200),,3
EBH: Human Evolutionary Biology,EBH 331, Hormones and Behavior,"Prerequisite: one of the following courses: ANP 120, BIO 201, BIO 202, BIO 203, PSY 250",,3
EBH: Human Evolutionary Biology,EBH 359, Behavioral Ecology,Prerequisite: BIO 201,,3
EBH: Human Evolutionary Biology,EBH 362, Evolution of Social Complexity,Prerequisite: ANP 120 or BIO 201,,3
EBH: Human Evolutionary Biology,EBH 370, Advanced Human Genetics,Prerequisite: C or better in either EBH 302 (formerly BIO 302) or BIO 320 or EBH 380 (formerly BIO 304),,3
EBH: Human Evolutionary Biology,EBH 380, Genomics,Prerequisite: C or higher in both BIO 201 and BIO 202,No fulfillments,3
EBH: Human Evolutionary Biology,EBH 381, Genomics Laboratory,Prerequisite: C or higher in either EBH 302 (or formerly BIO 302) or EBH 380 (or formerly BIO 304),,3
EBH: Human Evolutionary Biology,EBH 391, Topics in Human Evolutionary Biology,Prerequisite: ANP 200 or ANP 201 or EBH 302 (or formerly BIO 302),No fulfillments,3
EBH: Human Evolutionary Biology,EBH 401, Seminar in Evolutionary Biology of Humans,Prerequisite: permission of the instructor,No fulfillments,3
EBH: Human Evolutionary Biology,EBH 404, Evolution of Parenting,Prerequisite: ANP 120 or BIO 201; permission of instructor,No fulfillments,3
EBH: Human Evolutionary Biology,EBH 405, Life History and Development,Prerequisite: ANP 120 or EBH 200 (previously ANP 200),,3
EBH: Human Evolutionary Biology,EBH 444, Experiential Learning,Prerequisite: WRT 102 or equivalent; permission of the instructor and approval of the EXP+ contract (http://sb.cc.stonybrook.edu/bulletin/current/policiesandregulations/degree_requirements/EXPplus.php),,0
EBH: Human Evolutionary Biology,EBH 447, Readings in Human Evolutionary Biology,Prerequisite: Permission of instructor and department,No fulfillments,1
EBH: Human Evolutionary Biology,EBH 458, Speak Effectively Before an Audience,Pre- or corequisite: WRT 102 or equivalent; permission of the instructor,,0
EBH: Human Evolutionary Biology,EBH 459, Write Effectively in Human Evolutionary Biology,Prerequisite: WRT 102; permission of the instructor,,0
EBH: Human Evolutionary Biology,EBH 475, Undergraduate Teaching Practicum I,Prerequisite: permission of instructor; program approval of EXP+ contract,,3
EBH: Human Evolutionary Biology,EBH 476, Undergraduate Teaching Practicum II,Prerequisite: permission of instructor; program approval of EXP+ contract,,3
EBH: Human Evolutionary Biology,EBH 487, Independent Research in Human Evolutionary Biology,Prerequisite: permission of instructor; program approval of EXP+ contract,,0
EBH: Human Evolutionary Biology,EBH 488, Internship in Human Evolutionary Biology,Prerequisite: permission of instructor; program approval of EXP+ contract,,0
EBH: Human Evolutionary Biology,EBH 495, Senior Honors Project in Human Evolutionary Biology,Prerequisite: program approval of EXP+ contract; admission to the Human Evolutionary Biology honors program,No fulfillments,3
EBH: Human Evolutionary Biology,EBH 496, Senior Honors Project in Human Evolutionary Biology,Prerequisite: EBH 495 and admission to the EBH honors program,,3
ISE: Information Systems,ISE 102, Introduction to Web Design and Programming,No prerequisite,,3
ISE: Information Systems,ISE 108, Introduction to Programming,No prerequisite,,3
ISE: Information Systems,ISE 208, Intermediate Programming,Prerequisite: ISE 108,No fulfillments,3
ISE: Information Systems,ISE 218, Fundamentals of Information Technology,Prerequisite: Level 4 or higher on the mathematics placement examination or a grade of C or better in MAT 123 or higher,No fulfillments,3
ISE: Information Systems,ISE 300, Technical Communications,"Prerequisites: WRT 102, CSE or ISE major, U3 or U4 standing",,3
ISE: Information Systems,ISE 301, History of Computing,Prerequisite: U2 standing or higher,,3
ISE: Information Systems,ISE 305, Database Design and Practice,Prerequisite: ISE 208 or CSE 114 or CSE 230,,3
ISE: Information Systems,ISE 311, Systems Administration,Prerequisites: CSE 214 or CSE 230 or CSE 260 or ISE 208; ISE or CSE major,No fulfillments,3
ISE: Information Systems,ISE 312," Social, Legal, and Ethical Issues in Computing",Prerequisites: CSE or ISE major; U3 or U4 standing; one D.E.C. E or SNW course,,3
ISE: Information Systems,ISE 316, Introduction to Networking,Prerequisites: CSE 114 or ISE 208; Level 4 or higher on the mathematics placement exam or MAT 123,No fulfillments,3
ISE: Information Systems,ISE 317, Computer Networking II,Prerequisites: ISE 316 or CSE 310; ISE or CSE major,No fulfillments,3
ISE: Information Systems,ISE 320, Information Management,Prerequisite: U2 Standing,No fulfillments,3
ISE: Information Systems,ISE 321, Introduction to Network Administration,Prerequisite: ISE 316 or CSE 310; ISE or CSE major,No fulfillments,3
ISE: Information Systems,ISE 323, Human-Computer Interaction,Prerequisites: CSE 214 or CSE 230 or CSE 260 or ISE 208,No fulfillments,3
ISE: Information Systems,ISE 325, Computers and Sculpture,Prerequisite: CSE 110 or CSE 101 or CSE 114,No fulfillments,3
ISE: Information Systems,ISE 331, Fundamentals of Computer Security,Prerequisite: ISE 218 or CSE 220,No fulfillments,3
ISE: Information Systems,ISE 332, Introduction to Visualization,Prerequisites: CSE 214 or CSE 260; MAT 211 or AMS 210; AMS 110 or AMS 310; CSE or ISE major,No fulfillments,3
ISE: Information Systems,ISE 333, User Interface Development,Prerequisite: CSE 214 or CSE 260; CSE or ISE major,No fulfillments,3
ISE: Information Systems,ISE 334, Introduction to Multimedia Systems,"Prerequisite: U2, U3 or U4 standing; CSE or ISE major",No fulfillments,3
ISE: Information Systems,ISE 337, Scripting Languages,Prerequisites: CSE 214 or CSE 260; CSE or ISE major; U3 or U4 standing,No fulfillments,3
ISE: Information Systems,ISE 339, Benevolent Computing,Prerequisite: U3 or U4 standing; ISE or TSM major,No fulfillments,3
ISE: Information Systems,ISE 340, Design of Computer Games,No prerequisite,,3
ISE: Information Systems,ISE 364, Advanced Multimedia Techniques,Prerequisites: CSE/ISE 334,No fulfillments,3
ISE: Information Systems,ISE 369, Introduction to Political Informatics,"Prerequisite: CSE 101, CSE 114, or IAE 101; AMS 102, AMS 110, AMS 310, or POL 201",,3
ISE: Information Systems,ISE 377, Introduction to Medical Imaging,Prerequisites: AMS 161 or MAT 127 or 132 or 142; AMS 210 or MAT 211,No fulfillments,3
ISE: Information Systems,ISE 378, Introduction to Robotics,Prerequisites: AMS 161 or MAT 127 or 132 or 142; AMS 210 or MAT 211 or MEC 262,No fulfillments,3
ISE: Information Systems,ISE 390, Special Topics in Information Systems,Prerequisite: CSE 214; ISE major or ISE minor,No fulfillments,3
ISE: Information Systems,ISE 391, Special Topics in Information Systems,Prerequisite: CSE 214; ISE major or ISE minor,No fulfillments,3
ISE: Information Systems,ISE 392, Special Topics in Information Systems,Prerequisite: ISE major or ISE minor,No fulfillments,3
ISE: Information Systems,ISE 393, Special Topics in Information Systems,Prerequisite: CSE 214; ISE major or ISE minor,No fulfillments,3
ISE: Information Systems,ISE 475, Undergraduate Teaching Practicum,Prerequisites: U3 or U4 standing as an undergraduate CEAS major; a minimum g.p.a. of 3.00 in all Stony Brook courses; grade of B or better in the course in which the student is to assist and permission of department.,,3
ISE: Information Systems,ISE 487, Research in Information Systems,Prerequisites: Permission of instructor and department,No fulfillments,0
ISE: Information Systems,ISE 488, Information Systems Internship,Prerequisites: ISE major; U3 or U4 standing; permission of faculty sponsor and department,,3
IAP: International Academic Programs,IAP 249, Placeholder Course,No prerequisite,No fulfillments,0
IAP: International Academic Programs,IAP 302, Placeholder course,No prerequisite,No fulfillments,0
IAP: International Academic Programs,IAP 390, Rethinking America,Prerequisite: Participation in the Junior Year Abroad program,No fulfillments,3
IAP: International Academic Programs,IAP 391, American Society and Culture,Prerequisite: Participation in the Junior Year Abroad program,No fulfillments,3
IAP: International Academic Programs,IAP 444, Global Service Learning,No prerequisite,,0
IAP: International Academic Programs,IAP 488, Internship,Prerequisites: Permission of instructor and department,,0
INT: International Studies,INT 201, Democracy and Capitalism,No prerequisite,No fulfillments,2
INT: International Studies,INT 401, Global Social Problems,Prerequisites: INT 201; U3 or U4 standing,No fulfillments,3
INT: International Studies,INT 487, Independent Study in International Studies,Prerequisites: INT 201; U3 or U4 standing; permission of director of the minor,,0
ITL: Italian,ITL 101, Intensive Elementary Italian,No prerequisite,,6
ITL: Italian,ITL 111, Elementary Italian I,No prerequisite,LANG,4
ITL: Italian,ITL 112, Elementary Italian II,Prerequisite: C or better in ITL 111 or placement into 112. See http://www.stonybrook.edu/commcms/llrc/placement_challenge_exams/placement_exam.html for more information.,,4
ITL: Italian,ITL 201, Intensive Intermediate Italian,Prerequisite: ITL 101 or 112 or placement into 201 or 211. See http://www.stonybrook.edu/commcms/llrc/placement_challenge_exams/placement_exam.html for more information.,,6
ITL: Italian,ITL 211, Intermediate Italian 1,Prerequisite: ITL 101 or 112 or placement into 201 or 211. See http://www.stonybrook.edu/commcms/llrc/placement_challenge_exams/placement_exam.html for more information.,,3
ITL: Italian,ITL 212, Intermediate Italian 2,Prerequisite: ITL 211 or placement into 212. See http://www.stonybrook.edu/commcms/llrc/placement_challenge_exams/placement_exam.html for more information.,,3
ITL: Italian,ITL 311, Italian Conversation and Composition 1,Prerequisite: ITL 201 or 212,,3
ITL: Italian,ITL 312, Italian Conversation and Composition 2,Prerequisite: ITL 201 or 212,,3
ITL: Italian,ITL 313, Italian Vocabulary,Prerequisite: ITL 201 or 212,,1
ITL: Italian,ITL 395, Readings in Italian Literature I,Prerequisite: ITL 311,,3
ITL: Italian,ITL 396, Readings in Italian Literature II,Prerequisite: ITL 311,,3
ITL: Italian,ITL 410, Business Italian,Prerequisites: ITL 311 and 312,,3
ITL: Italian,ITL 411, Advanced Conversation and Composition,Prerequisites: ITL 311 and 312,,3
ITL: Italian,ITL 412, Advanced Conversation and Syntax,Prerequisites: ITL 311 and 312,,3
